"","Sex","Con","COVID","Age","NivEco","Educ","GenRecod","Ideology1","Ideology2","IdePol","ExtMod","Homphily","Bias","skill","Global","EC","CA","DPol","EcoCount","Citizen","SC0"
"20","Male",1,1,1,4,3,"Male","Ninguno","Ninguno","0","Ninguno",21,8,21,14,18,4,4,34,61,4
"21","Female",1,1,1,2,3,"Female","Ninguno","Ninguno","0","Ninguno",25,21,20,14,20,7,13,50,74,5
"22","Female",0,1,2,3,4,"Female","Ninguno","Ninguno","0","Ninguno",21,3,15,6,7,2,3,25,33,3
"23","Male",0,0,1,3,4,"Male","Ninguno","Ninguno","0","Ninguno",21,8,21,13,17,4,6,34,61,1
"24","Female",1,1,1,4,5,"Female","Centro-Izquierda","Izquierda","1","0",30,25,21,14,21,8,19,65,83,7
"25","Female",0,1,1,2,4,"Female","Ninguno","Ninguno","0","Ninguno",9,5,16,5,17,5,3,15,46,3
"26","Female",0,0,2,3,4,"Female","Centro-Izquierda","Izquierda","1","0",24,18,21,12,19,13,10,49,75,4
"27","Female",0,1,2,3,4,"Female","Ninguno","Ninguno","0","Ninguno",18,11,17,10,7,2,3,36,39,4
"28","Female",1,0,2,4,4,"Female","E. Izquierda","Izquierda","1","1",12,13,21,14,16,6,9,27,66,3
"29","Male",0,1,2,3,4,"Male","E. Izquierda","Izquierda","1","1",12,8,21,14,16,8,21,26,80,2
"30","Female",0,1,2,3,4,"Female","Centro-Izquierda","Izquierda","1","1",25,22,18,14,14,10,6,50,62,3
"31","Female",0,0,2,2,3,"Female","Ninguno","Ninguno","0","Ninguno",11,17,17,11,19,10,4,29,61,1
"32","Female",1,1,2,3,5,"Female","E. Izquierda","Izquierda","1","1",21,18,20,12,24,11,14,40,81,4
"33","Male",1,0,2,2,3,"Male","Ninguno","Ninguno","0","Ninguno",17,18,17,11,19,11,18,40,76,3
"34","Female",1,1,2,3,4,"Female","Centro-Izquierda","Izquierda","1","0",16,15,16,9,16,5,7,34,53,7
"35","Female",0,1,2,2,4,"Female","Centro","Centro","1","0",19,12,18,13,19,8,14,34,72,6
"36","Male",0,1,1,2,4,"Male","Centro-Izquierda","Izquierda","1","0",19,15,19,12,26,12,20,39,89,3
"37","Male",0,0,2,2,4,"Male","Centro-Izquierda","Izquierda","1","1",27,12,21,14,16,6,9,43,66,4
"38","Female",0,1,2,3,4,"Female","E. Izquierda","Izquierda","1","1",28,25,17,14,14,3,9,59,57,6
"39","Female",0,1,2,2,4,"Female","E. Izquierda","Izquierda","1","1",27,19,21,14,28,12,17,53,92,2
"40","Female",1,0,1,4,5,"Female","E. Izquierda","Izquierda","1","1",15,13,17,8,12,7,10,31,54,6
