"","Age","NivEco","Genre","Genre_3_TEXT","Educ","Homo_1","Homo_2","Homo_3","Homo_4","Homo_5","Homo_6","Homo_7","DigiCit_1","DigiCit_2","DigiCit_3","DigiCit_4","DigiCit_5","DigiCit_6","DigiCit_7","DigiCit_8","DigiCit_9","DigiCit_10","DigiCit_11","DigiCit_12","DigiCit_13","DigiCit_14","IdePol","Ideolo_1","E2TC_1","E2TC_2","E2TC_3","E2TC_4","E2TC_5","E2TC_6","E2TC_7","E2TC_8","E2TC_9","E2TC_10","E2TC_11","E2TC_12","E2TC_DO","E2T1a_1","E2T1a_2","E2T1a_3","E2T1a_4","E2T1a_5","E2T1a_6","E2T1a_7","E2T1a_DO","E2T1a_ADO","E2T1b_1","E2T1b_2","E2T1b_3","E2T1b_4","E2T1b_5","E2T1b_6","E2T1b_7","E2T1b_DO","E2T1c_1","E2T1c_2","E2T1c_3","E2T1c_4","E2T1c_5","E2T1c_6","E2T1c_7","E2T1c_DO","E2T1d_1","E2T1d_2","E2T1d_3","E2T1d_4","E2T1d_5","E2T1d_6","E2T1d_7","E2T1d_DO","E2T1d_ADO","E2T2a_1","E2T2a_2","E2T2a_3","E2T2a_4","E2T2a_5","E2T2a_6","E2T2a_7","E2T2a_DO","E2T2a_ADO","E2T2b_1","E2T2b_2","E2T2b_3","E2T2b_4","E2T2b_5","E2T2b_6","E2T2b_7","E2T2b_8","E2T2b_9","E2T2b_10","E2T2b_11","E2T2b_12","E2T2b_DO","E2T2c_1","E2T2c_2","E2T2c_3","E2T2c_4","E2T2c_5","E2T2c_6","E2T2c_7","E2T2c_DO","E2T2c_ADO","end_4","SC0"
"35","2","3","2","","4","3","5","6","5","5","5","5","6","5","5","4","5","4","4","4","4","2","3","3","1","3","1","4","2","","1","","","1","","","2","1","1","2","3|12|9|10|11|1|6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","7"
"36","2","2","2","","4","3","6","6","3","4","7","5","6","6","6","7","6","5","4","5","5","4","4","5","6","3","1","6","1","1","1","","","","","1","2","1","","2","9|1|12|8|10|3|2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","6"
"37","1","2","1","","4","5","5","7","4","4","7","7","7","6","6","6","6","6","7","6","7","6","6","7","6","7","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","2","1","2","1","1|3|5|7|2|6|4","2|1","57","3"
"38","2","2","1","","4","4","9","9","4","4","9","4","7","7","7","7","7","7","3","3","3","3","3","3","3","3","1","3","","","","","","","","","","","","","","1","1","2","1","1","2","1","7|6|5|4|3|2|1","2|1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","4"
"39","2","3","2","","4","6","8","10","6","9","10","10","6","6","5","7","7","6","3","2","3","1","2","2","4","3","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","2","2","2|4|6|1|3|5|7","1|2","91","6"
"40","2","2","2","","4","7","7","10","4","5","10","10","7","7","7","7","7","7","7","7","7","7","5","4","6","7","1","1","1","","1","","2","2","","2","1","","","2","9|12|3|8|5|1|6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","2"
"41","1","4","2","","5","3","6","6","6","3","3","4","6","6","5","4","4","4","2","4","2","5","2","4","2","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","1","1","2","2","7|4|2|3|6|5|1","1|2","53","6"
"42","2","3","1","","4","4","8","8","4","3","8","1","7","6","7","4","4","4","4","3","3","5","4","4","5","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","","2","1","1","","1","4|8|10|12|6|5|9","","","","","","","","","","51","2"
"43","2","2","1","","3","5","9","7","8","6","9","5","5","6","6","6","5","6","6","4","5","6","4","2","6","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","2","2","2","1","3|2|4|5|6|7|1","2|1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","3"
"44","2","2","2","","4","5","5","7","8","7","5","8","5","7","7","7","7","7","5","6","6","4","5","5","6","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","2","2","2","1","2|1|3|6|4|5|7","2|1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","2"
"45","1","3","1","","4","2","6","5","3","1","7","2","5","6","4","2","2","4","3","3","4","3","1","1","2","1","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","1","1","1","2","2|7|4|6|1|3|5","2|1","","","","","","","","","","","","","","","","","","","","","","","30","4"
"46","1","5","1","","3","5","6","7","3","5","6","3","7","7","7","6","6","5","4","4","4","2","2","2","2","6","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","1","1","2","5|6|4|7|2|1|3","1|2","90","4"
"47","2","4","1","","4","3","8","6","6","2","8","8","7","7","7","7","7","7","7","4","5","5","3","4","5","5","1","3","","","","","","","","","","","","","","1","2","1","1","1","2","1","1|2|3|4|5|6|7","2|1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","4"
"48","1","2","2","","4","4","10","10","10","1","10","6","7","7","7","7","6","5","6","6","3","7","3","2","6","3","1","3","2","","1","2","","1","","1","1","","","2","12|9|1|4|6|3|8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","5"
